Year,Community_Name,City,LACity,SPA,SD,DemogSurvCt,YouthSurvCt,SheltHmisCt,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
2018,Arroyo Seco,Los Angeles,1,4,1,1,0,0,23,0,0,18,29,28,4,17,29,47,51,6,28,1,1,1,0,0,3,2,4,0,1,26,45,47,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,185
2018,Artesia,Artesia,0,7,4,0,0,0,8,0,0,0,3,1,0,1,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
2018,Atwater Village,Los Angeles,1,4,1,1,0,0,26,0,0,9,10,16,3,12,15,16,29,5,20,1,0,1,0,0,2,1,2,0,0,13,16,27,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,111
2018,Avalon,Avalon,0,8,4,0,0,0,19,0,0,1,0,0,0,9,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,6,42
2018,Avocado Heights,Avocado Heights,0,3,1,6,0,1,17,0,0,0,1,0,3,6,0,2,0,5,10,0,0,0,0,0,0,0,0,0,0,0,2,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
2018,Azusa,Azusa,0,3,1,22,0,0,88,0,0,3,1,17,0,20,5,2,31,0,34,0,0,1,0,0,1,0,2,0,1,4,2,29,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,159
2018,Baldwin Hills / Crenshaw,Los Angeles,1,6,2,78,5,64,84,2,8,30,29,61,6,15,49,47,112,9,25,2,1,3,0,0,6,2,9,0,1,43,45,103,9,25,0,0,0,25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,334,25,8,0,33,367
2018,Baldwin Park,Baldwin Park,0,3,1,20,1,0,107,0,0,14,10,19,31,36,23,16,35,47,60,1,0,1,1,1,3,1,3,2,1,20,16,32,46,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,288
2018,Bel Air-Beverly Crest,Los Angeles,1,4,3,13,1,0,5,0,0,0,0,2,1,2,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
2018,Bell,Bell,0,7,1,15,0,300,31,1,3,2,3,13,1,8,3,5,24,2,13,0,0,1,0,0,0,0,2,0,0,3,5,22,1,13,132,0,0,6,0,0,0,206,0,0,3,0,0,0,3,0,0,0,0,0,0,81,138,209,3,350,431
