Name,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate
ZCTA5 01054,1054,1997.0,50.9,87174.0,46486.0,6.009013520280421,2.0030045067601403
ZCTA5 01056,1056,21331.0,44.4,67715.0,33247.0,5.602175237916647,2.836247714593784
ZCTA5 01057,1057,8801.0,46.3,78986.0,35989.0,5.692534939211453,3.8404726735598227
ZCTA5 01060,1060,15729.0,34.3,57485.0,36152.0,12.473774556551593,3.178841630109988
ZCTA5 01062,1062,10587.0,45.2,73438.0,38373.0,14.026636440918107,3.5042977236233117
ZCTA5 01063,1063,574.0,20.5,-666666666.0,3532.0,0.0,4.181184668989547
ZCTA5 01066,1066,9.0,-666666666.0,-666666666.0,,0.0,0.0
ZCTA5 01068,1068,1849.0,46.7,85938.0,35289.0,3.785830178474851,2.8123309897241753
ZCTA5 01069,1069,8919.0,47.1,59211.0,32833.0,7.085996187913443,3.9354187689202824
ZCTA5 01070,1070,637.0,50.2,57000.0,30342.0,8.006279434850864,3.1397174254317113
ZCTA5 01071,1071,1206.0,47.9,67132.0,32683.0,4.477611940298507,2.3217247097844114
ZCTA5 01072,1072,1490.0,45.6,72000.0,36574.0,12.21476510067114,3.2885906040268456
ZCTA5 01073,1073,6090.0,46.4,89423.0,44641.0,4.564860426929393,3.464696223316913
ZCTA5 01074,1074,477.0,33.7,61603.0,18494.0,0.0,0.0
ZCTA5 01075,1075,17755.0,40.3,66681.0,32046.0,9.022810475922276,3.5651929034074907
ZCTA5 01077,1077,9711.0,46.6,76737.0,38002.0,7.17742765935537,2.5435073627844713
ZCTA5 01079,1079,480.0,46.3,27105.0,31721.0,11.458333333333334,0.0
ZCTA5 01080,1080,2532.0,32.7,49844.0,23355.0,33.41232227488152,4.85781990521327
ZCTA5 01081,1081,1827.0,43.7,50465.0,26913.0,5.145046524356869,2.134646962233169
ZCTA5 01082,1082,10637.0,41.8,51768.0,27830.0,13.434238977155212,4.202312682147222
ZCTA5 01083,1083,3182.0,36.9,65547.0,24012.0,9.113764927718416,2.545568824638592
ZCTA5 01084,1084,183.0,53.6,90625.0,43879.0,0.0,3.8251366120218577
ZCTA5 01085,1085,41652.0,39.1,62423.0,29630.0,7.807548256986459,3.4860270815326997
ZCTA5 01086,1086,683.0,19.0,-666666666.0,2892.0,0.0,0.0
ZCTA5 01088,1088,399.0,53.3,51406.0,32106.0,8.020050125313283,4.010025062656641
ZCTA5 01089,1089,28671.0,39.2,51735.0,29344.0,12.043528303861045,4.14355969446479
ZCTA5 01092,1092,1133.0,47.0,75799.0,33033.0,15.180935569285085,3.265666372462489
ZCTA5 01093,1093,348.0,52.6,103750.0,54538.0,6.0344827586206895,0.0
ZCTA5 01094,1094,327.0,54.6,21250.0,32228.0,8.868501529051988,0.0
ZCTA5 01095,1095,14659.0,47.2,104128.0,45406.0,3.9088614503035677,2.073811310457739
ZCTA5 01096,1096,2607.0,44.3,77083.0,36844.0,8.20866896816264,3.0303030303030303
ZCTA5 01097,1097,54.0,17.1,-666666666.0,9161.0,74.07407407407408,0.0
ZCTA5 01098,1098,1186.0,50.4,76563.0,43006.0,7.335581787521079,0.8431703204047217
ZCTA5 01103,1103,2409.0,33.6,16720.0,21340.0,55.50020755500208,5.72851805728518
ZCTA5 01104,1104,23635.0,36.0,30053.0,19687.0,28.834355828220858,5.072984979902687
ZCTA5 01105,1105,11601.0,32.3,17569.0,15259.0,51.90069821567106,6.146021894664253
ZCTA5 01106,1106,16048.0,46.2,111231.0,55504.0,3.5892323030907276,2.293120638085743
ZCTA5 01107,1107,11304.0,28.8,26772.0,15178.0,42.32130219391366,9.660297239915074
ZCTA5 01108,1108,28925.0,31.7,38499.0,18875.0,30.68971477960242,4.705272255834053
ZCTA5 01109,1109,30125.0,27.9,35191.0,15703.0,26.79170124481328,4.484647302904564
ZCTA5 01118,1118,14774.0,36.8,61112.0,29498.0,14.518749153919048,2.930824421280628
ZCTA5 01119,1119,13236.0,34.7,47439.0,22681.0,15.918706557872468,4.8881837413115745
ZCTA5 01128,1128,2798.0,48.3,65977.0,35083.0,1.9656897784131522,3.645461043602573
ZCTA5 01129,1129,6750.0,42.9,63895.0,30597.0,10.355555555555556,3.3777777777777778
ZCTA5 01151,1151,8884.0,32.7,40360.0,18717.0,21.79198559207564,5.09905447996398
ZCTA5 01199,1199,0.0,-666666666.0,-666666666.0,-666666666.0,,
ZCTA5 01201,1201,44775.0,44.0,47614.0,30286.0,14.32719151312116,4.227805695142378
ZCTA5 01220,1220,8211.0,45.8,49777.0,28827.0,11.082693947144074,3.580562659846547
ZCTA5 01222,1222,818.0,49.2,74583.0,39128.0,4.400977995110025,1.5892420537897312
ZCTA5 01223,1223,2351.0,51.8,77857.0,39393.0,5.997447894512973,3.998298596341982
ZCTA5 01224,1224,209.0,49.8,38446.0,22355.0,10.047846889952153,17.22488038277512
ZCTA5 01225,1225,3169.0,48.2,61512.0,33984.0,3.9760176711896498,5.52224676554118
ZCTA5 01226,1226,6839.0,48.9,61063.0,34994.0,9.91373007749671,3.5239070039479454
ZCTA5 01229,1229,86.0,67.4,29000.0,18577.0,5.813953488372093,0.0
ZCTA5 01230,1230,8359.0,49.9,65214.0,37450.0,4.857040315827252,2.3088886230410335
ZCTA5 01235,1235,2671.0,49.6,63000.0,35609.0,7.787345563459379,2.8828154249344813
ZCTA5 01236,1236,1197.0,42.2,57014.0,32948.0,2.0050125313283207,3.508771929824561
ZCTA5 01237,1237,2662.0,46.9,84615.0,33634.0,5.672426746806912,4.73328324567994
ZCTA5 01238,1238,5917.0,46.5,67708.0,33536.0,7.639006253168835,1.8252492817306067
ZCTA5 01240,1240,4493.0,57.2,68948.0,53659.0,3.6278655686623638,2.2256843979523704
ZCTA5 01242,1242,475.0,33.8,81172.0,29336.0,0.8421052631578947,0.0
ZCTA5 01243,1243,333.0,57.3,71979.0,51112.0,7.5075075075075075,0.6006006006006006
ZCTA5 01244,1244,108.0,60.8,55556.0,41983.0,9.25925925925926,0.0
ZCTA5 01245,1245,803.0,55.8,69821.0,49853.0,9.090909090909092,1.7434620174346203
ZCTA5 01247,1247,15703.0,43.6,40928.0,24982.0,15.500222887346366,4.801630261733426
ZCTA5 01253,1253,742.0,59.8,74554.0,45803.0,5.256064690026954,2.4258760107816713
ZCTA5 01254,1254,977.0,58.3,92083.0,67240.0,7.267144319344934,2.2517911975435005
ZCTA5 01255,1255,859.0,50.2,68636.0,36882.0,3.8416763678696157,2.561117578579744
ZCTA5 01256,1256,764.0,47.3,55375.0,29340.0,8.24607329842932,3.0104712041884816
ZCTA5 01257,1257,2138.0,53.1,59500.0,46014.0,10.430308699719363,2.432179607109448
ZCTA5 01258,1258,357.0,61.7,57917.0,46676.0,7.8431372549019605,0.0
ZCTA5 01259,1259,506.0,60.6,62727.0,58770.0,5.138339920948616,1.976284584980237
ZCTA5 01260,1260,447.0,32.9,112756.0,28091.0,5.369127516778524,5.8165548098434
ZCTA5 01262,1262,1110.0,56.9,36042.0,38369.0,12.702702702702704,2.7027027027027026
ZCTA5 01264,1264,205.0,58.4,80000.0,49908.0,25.853658536585368,8.292682926829269
ZCTA5 01266,1266,1360.0,55.5,74107.0,45261.0,5.8088235294117645,1.1029411764705883
ZCTA5 01267,1267,7853.0,31.9,78068.0,33267.0,7.500318349675283,3.170762765821979
ZCTA5 01270,1270,813.0,50.1,80000.0,45778.0,6.150061500615006,2.2140221402214024
ZCTA5 01301,1301,17715.0,44.1,48477.0,30169.0,12.531752751905165,2.8337567033587354
ZCTA5 01330,1330,1468.0,49.3,74167.0,41585.0,7.425068119891008,1.2942779291553133
ZCTA5 01331,1331,13281.0,44.7,53733.0,27402.0,13.470371206987426,4.818914238385664
ZCTA5 01337,1337,2626.0,50.0,66085.0,34785.0,9.063214013709063,2.322924600152323
ZCTA5 01338,1338,170.0,59.6,57750.0,24208.0,12.352941176470589,10.588235294117647
ZCTA5 01339,1339,1472.0,50.5,55313.0,29754.0,11.41304347826087,3.6005434782608696
ZCTA5 01340,1340,1642.0,53.7,53125.0,29428.0,13.824604141291108,4.445797807551767
ZCTA5 01341,1341,1743.0,50.9,101023.0,51004.0,2.2948938611589216,2.4096385542168677
ZCTA5 01342,1342,1759.0,43.9,106146.0,41962.0,8.925525866969869,0.0
ZCTA5 01343,1343,46.0,59.5,85781.0,38683.0,0.0,0.0
ZCTA5 01344,1344,1518.0,41.9,70109.0,28889.0,10.474308300395258,3.8866930171278
ZCTA5 01346,1346,464.0,49.1,60208.0,34662.0,6.896551724137931,0.8620689655172413
ZCTA5 01347,1347,126.0,46.0,52647.0,27629.0,13.492063492063492,0.0
ZCTA5 01349,1349,1231.0,37.7,61630.0,26995.0,6.823720552396425,8.042242079610073
ZCTA5 01350,1350,86.0,54.7,31458.0,27507.0,8.13953488372093,2.3255813953488373
ZCTA5 01351,1351,2209.0,46.9,82548.0,40829.0,8.782254413761883,2.2634676324128566
ZCTA5 01354,1354,1604.0,47.6,69226.0,38346.0,5.7356608478802995,2.8678304239401498
ZCTA5 01355,1355,917.0,50.8,70313.0,36789.0,6.106870229007634,4.0348964013086155
ZCTA5 01360,1360,3012.0,46.0,69028.0,33657.0,3.9176626826029217,4.116865869853918
ZCTA5 01364,1364,7819.0,45.4,43413.0,23103.0,10.154751246962528,4.872745875431641
ZCTA5 01366,1366,1218.0,51.0,65529.0,35783.0,5.254515599343185,3.284072249589491
ZCTA5 01367,1367,605.0,44.4,55469.0,28197.0,17.68595041322314,0.6611570247933884
ZCTA5 01368,1368,1316.0,51.1,72813.0,32809.0,10.182370820668693,3.0395136778115504
ZCTA5 01370,1370,4032.0,51.3,54036.0,37400.0,9.623015873015873,3.794642857142857
ZCTA5 01373,1373,4160.0,49.5,74022.0,38682.0,7.980769230769231,3.2211538461538463
ZCTA5 01375,1375,3662.0,31.3,54886.0,36664.0,16.19333697433097,1.8569087930092845
ZCTA5 01376,1376,5096.0,44.1,43750.0,25887.0,18.70094191522763,4.336734693877551
ZCTA5 01378,1378,744.0,55.7,57885.0,30777.0,5.779569892473118,0.8064516129032258
ZCTA5 01379,1379,836.0,51.2,43500.0,28998.0,17.70334928229665,3.827751196172249
ZCTA5 01420,1420,40666.0,35.4,51412.0,24887.0,17.1174937294054,5.2058230462794475
ZCTA5 01430,1430,6210.0,41.1,85064.0,33886.0,4.669887278582931,3.4782608695652173
ZCTA5 01431,1431,3195.0,45.9,95833.0,36900.0,7.762128325508607,3.536776212832551
ZCTA5 01432,1432,7703.0,39.1,79750.0,42774.0,12.203037777489289,2.5314812410749057
ZCTA5 01434,1434,1712.0,43.4,50547.0,17126.0,9.63785046728972,1.7523364485981308
ZCTA5 01436,1436,3460.0,43.3,60156.0,31607.0,4.7398843930635834,2.167630057803468
ZCTA5 01438,1438,563.0,60.1,74142.0,36265.0,3.019538188277087,5.150976909413854
ZCTA5 01440,1440,20496.0,40.6,48915.0,25866.0,15.720140515222482,2.9030054644808745
ZCTA5 01450,1450,11282.0,45.6,123918.0,53410.0,4.281155823435561,2.0741003368197126
ZCTA5 01451,1451,4630.0,47.2,143625.0,60666.0,3.8444924406047516,3.5637149028077753
ZCTA5 01452,1452,4581.0,45.7,93387.0,38657.0,2.379393145601397,2.6413446845666884
ZCTA5 01453,1453,41446.0,40.2,57610.0,30775.0,13.296819958500217,3.143849828692757
ZCTA5 01460,1460,9754.0,44.4,119177.0,49934.0,3.793315562846012,3.239696534754972
ZCTA5 01462,1462,11150.0,44.1,97775.0,41737.0,8.179372197309418,2.0358744394618835
ZCTA5 01463,1463,12049.0,42.9,90029.0,40919.0,5.593825213710681,3.095692588596564
ZCTA5 01464,1464,7572.0,42.3,67541.0,31903.0,8.254094030639196,1.7828843106180665
ZCTA5 01467,1467,511.0,51.4,98036.0,42565.0,15.068493150684931,0.0
ZCTA5 01468,1468,4124.0,47.2,64872.0,38444.0,4.219204655674103,3.1522793404461686
ZCTA5 01469,1469,7454.0,39.2,84489.0,39302.0,3.8636973437080764,2.119667292728736
ZCTA5 01473,1473,7566.0,44.7,100071.0,43218.0,1.5463917525773196,2.5244514935236584
ZCTA5 01474,1474,1964.0,44.5,84851.0,47724.0,4.531568228105907,2.0366598778004072
ZCTA5 01475,1475,10738.0,41.3,64539.0,29400.0,10.858632892531197,3.2967032967032965
ZCTA5 01501,1501,16412.0,46.8,74576.0,38476.0,4.521082135023153,3.1745064586887644
